wnid,hierarchy_0,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,hierarchy_6,hierarchy_7,hierarchy_8,hierarchy_9,hierarchy_10,hierarchy_11,hierarchy_12,hierarchy_13,hierarchy_14,hierarchy_15,hierarchy_16
n01496331,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,cartilaginous_fish,elasmobranch,ray,electric_ray,,
n01592084,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,titmouse,chickadee,,,
n01775062,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,wolf_spider,,,,,
n01530575,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,finch,brambling,,,
n01773549,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,barn_spider,,,,,
n01440764,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,bony_fish,teleost_fish,soft-finned_fish,cypriniform_fish,cyprinid,tench
n01494475,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,cartilaginous_fish,elasmobranch,shark,hammerhead,,
n01739381,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,vine_snake,,,
n01817953,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,parrot,African_grey,,,,,
n01644900,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,frog,tailed_frog,,,,,
n01697457,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,crocodilian_reptile,crocodile,African_crocodile,,,
n01514668,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,cock,,,,,,
n01798484,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,grouse,prairie_chicken,,,
n01818515,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,parrot,macaw,,,,,
n01484850,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,cartilaginous_fish,elasmobranch,shark,mackerel_shark,great_white_shark,
n01694178,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,chameleon,African_chameleon,,
n01704323,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,archosaur,dinosaur,ornithischian,ceratopsian,triceratops,
n01734418,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,king_snake,,,
n01537544,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,finch,bunting,indigo_bunting,,
n01443537,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,bony_fish,teleost_fish,soft-finned_fish,cypriniform_fish,cyprinid,goldfish
n01685808,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,teiid_lizard,whiptail,,
n01558993,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,thrush,robin,,,
n01756291,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,viper,pit_viper,rattlesnake,sidewinder,
n01728572,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,thunder_snake,,,
n01631663,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,salamander,newt,eft,,,,
n01601694,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,water_ouzel,,,,
n01776313,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,acarine,tick,,,,,
n01755581,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,viper,pit_viper,rattlesnake,diamondback,
n01580077,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,corvine_bird,jay,,,
n01797886,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,grouse,ruffed_grouse,,,
n01669191,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,anapsid,chelonian,turtle,box_turtle,,,
n01682714,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,iguanid,American_chameleon,,
n01807496,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,phasianid,partridge,,,
n01629819,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,salamander,European_fire_salamander,,,,,
n01641577,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,frog,true_frog,bullfrog,,,,
n01749939,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,elapid,mamba,black_mamba,green_mamba,
n01742172,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,constrictor,boa,boa_constrictor,,
n01622779,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,bird_of_prey,owl,great_grey_owl,,,,
n01534433,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,finch,junco,,,
n01532829,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,finch,house_finch,,,
n01675722,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,gecko,banded_gecko,,
n01695060,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,monitor,Komodo_dragon,,
n01688243,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,agamid,frilled_lizard,,
n01632777,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,salamander,ambystomid,axolotl,,,,
n01728920,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,ringneck_snake,,,
n01616318,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,bird_of_prey,vulture,,,,,
n01773157,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,black_and_gold_garden_spider,,,,,
n01630670,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,salamander,newt,common_newt,,,,
n01698640,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,crocodilian_reptile,alligator,American_alligator,,,
n01665541,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,anapsid,chelonian,turtle,sea_turtle,leatherback_turtle,,
n01768244,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,trilobite,,,,,,,
n01740131,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,night_snake,,,
n01560419,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,thrush,nightingale,bulbul,,
n01582220,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,corvine_bird,magpie,,,
n01667778,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,anapsid,chelonian,turtle,terrapin,,,
n01729322,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,hognose_snake,,,
n01729977,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,green_snake,,,
n01644373,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,frog,tree_frog,,,,,
n01632458,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,amphibian,salamander,ambystomid,spotted_salamander,,,,
n01692333,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,venomous_lizard,Gila_monster,,
n01667114,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,anapsid,chelonian,turtle,mud_turtle,,,
n01677366,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,iguanid,common_iguana,,
n01806567,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,phasianid,quail,,,
n01693334,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,lacertid_lizard,green_lizard,,
n01806143,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,phasianid,pheasant,peafowl,peacock,
n01614925,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,bird_of_prey,eagle,bald_eagle,,,,
n01518878,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,ratite,ostrich,,,,,
n01514859,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,hen,,,,,,
n01795545,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,grouse,black_grouse,,,
n01770081,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,harvestman,,,,,,
n01773797,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,garden_spider,,,,,
n01770393,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,scorpion,,,,,,
n01664065,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,anapsid,chelonian,turtle,sea_turtle,loggerhead,,
n01744401,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,constrictor,boa,python,rock_python,
n01735189,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,garter_snake,,,
